Accession	Title	Links	Status	Release Date	Created	Updated	Submission	BioSample.name	BioSample.organism_name
SAMN29453270	291_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.736Z	2022-10-25T09:19:15.500Z	SUB11601558	AGL1737	Severe acute respiratory syndrome coronavirus 2
SAMN29453268	290_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.720Z	2022-10-25T09:19:15.480Z	SUB11601558	AGL1706	Severe acute respiratory syndrome coronavirus 2
SAMN29453264	288_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.680Z	2022-10-25T09:19:15.466Z	SUB11601558	AGL1619	Severe acute respiratory syndrome coronavirus 2
SAMN29453263	288_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.670Z	2022-10-25T09:19:15.450Z	SUB11601558	AGL1618	Severe acute respiratory syndrome coronavirus 2
SAMN29453262	288_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.660Z	2022-10-25T09:19:15.433Z	SUB11601558	AGL1646	Severe acute respiratory syndrome coronavirus 2
SAMN29453261	287_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.653Z	2022-10-25T09:19:15.410Z	SUB11601558	AGL1556	Severe acute respiratory syndrome coronavirus 2
SAMN29453258	286_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.626Z	2022-10-25T09:19:15.380Z	SUB11601558	AGL1542	Severe acute respiratory syndrome coronavirus 2
SAMN29453253	285_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:06.563Z	2022-10-25T09:19:15.360Z	SUB11601558	AGL1486	Severe acute respiratory syndrome coronavirus 2
SAMN29453537	380_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.300Z	2022-10-25T09:19:15.290Z	SUB11601558	AGL1991	Severe acute respiratory syndrome coronavirus 2
SAMN29453535	379_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.283Z	2022-10-25T09:19:15.270Z	SUB11601558	AGL2783	Severe acute respiratory syndrome coronavirus 2
SAMN29453534	379_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.273Z	2022-10-25T09:19:15.253Z	SUB11601558	AGL2960	Severe acute respiratory syndrome coronavirus 2
SAMN29453532	378_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.256Z	2022-10-25T09:19:15.240Z	SUB11601558	AGL2983	Severe acute respiratory syndrome coronavirus 2
SAMN29453531	378_d3	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.246Z	2022-10-25T09:19:15.220Z	SUB11601558	AGL2988	Severe acute respiratory syndrome coronavirus 2
SAMN29453530	378_d1	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.236Z	2022-10-25T09:19:15.206Z	SUB11601558	AGL2996	Severe acute respiratory syndrome coronavirus 2
SAMN29453529	377_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.230Z	2022-10-25T09:19:15.190Z	SUB11601558	AGL3023	Severe acute respiratory syndrome coronavirus 2
SAMN29453526	376_d5	BioProject: 1, SRA: 1	Released	2022-10-25	2022-07-01T11:38:09.200Z	2022-10-25T09:19:15.170Z	SUB11601558	AGL2986	Severe acute respiratory syndrome coronavirus 2
